Mathematics,Science,English,Hindi,Social Science,Physics,Chemistry,Biology,Basic Electrical Engineering,Mathematics I,Analog Electronic Circuits,Environmental Science,Basic Manufacturing Systems,Yoga and Human Consciousness,Professional Communication,Engineering Graphics,Computer Programming,Data Structures and Algorithms,Digital Electronics,Engineering Economics,Object-Oriented Programming,Probability & Statistics,Computer Organization and Architecture,Database Management Systems,Principle of Digital Communication,Operating Systems,Automata and Formal Languages,Web Technology,Business Communication,Software Engineering,Big Data,Design and Analysis of Algorithms,High-Performance Computing,Computer Networks,Artificial Intelligence,Law of Patent,Data Analytics,Internet of Things,Compiler Design,Software Project Management,Cloud Computing,Tools and Techniques Laboratory,Minor Project,Job Role
73,57,97,71,93,94,83,98,81,64,100,97,82,71,81,77,99,69,60,63,59,85,72,94,56,77,70,51,53,73,86,76,64,65,89,90,70,84,67,61,67,95,72,Doctor
70,61,89,53,57,70,52,98,87,100,63,89,77,96,99,80,61,64,77,61,61,85,65,62,71,61,91,50,60,73,87,95,70,99,70,71,61,61,97,99,75,51,90,Environmental Engineer
99,65,87,54,83,61,66,87,82,84,55,72,70,59,57,98,98,80,98,64,53,54,77,57,74,77,74,74,83,92,75,74,96,54,70,80,74,70,69,99,67,87,57,Software Developer
95,94,76,79,70,62,84,69,99,77,57,80,56,90,93,80,56,59,63,87,69,70,54,80,83,78,64,84,63,51,89,81,57,50,80,51,65,89,59,87,66,54,59,Machine Learning Engineer
90,99,83,83,50,65,64,88,97,69,78,86,87,82,78,63,70,78,81,63,51,81,67,50,53,73,61,53,57,82,64,94,98,55,55,55,89,60,76,59,80,88,81,Data Scientist
73,74,58,84,90,69,87,62,78,51,87,88,71,55,75,86,52,66,56,68,72,98,80,67,94,65,76,97,90,86,55,67,52,89,71,63,53,57,85,68,52,96,53,DevOps Engineer
55,70,71,77,60,96,54,81,98,94,89,56,73,91,67,52,79,52,84,71,52,63,79,88,66,78,71,54,52,63,98,63,97,75,78,75,59,92,69,67,87,67,83,Electronics Engineer
90,65,67,76,89,79,84,70,72,57,94,68,63,88,68,72,93,92,94,58,86,53,88,82,71,77,53,95,57,74,75,66,72,96,90,54,67,71,91,72,96,60,73,Software Developer
70,81,75,93,87,61,78,79,91,58,73,65,92,90,90,81,61,50,100,96,92,85,58,51,90,65,83,72,81,97,88,86,62,61,90,82,87,68,50,67,77,83,86,Data Scientist
65,64,81,54,90,91,88,60,71,91,95,79,89,62,63,88,51,58,55,83,72,81,68,53,70,50,69,54,100,96,51,83,69,91,54,86,100,95,55,50,71,53,70,Data Scientist
84,96,90,62,92,82,85,66,60,75,61,54,93,52,95,54,99,81,100,55,97,76,73,64,67,63,76,81,90,97,51,77,89,90,73,100,83,51,59,90,60,81,58,Engineer
65,65,76,54,58,64,95,97,51,76,96,53,67,67,81,60,92,83,92,100,93,67,93,87,84,82,96,75,94,55,83,69,52,74,81,77,100,79,58,52,60,69,98,Data Scientist
60,67,94,71,70,93,78,69,51,65,83,60,85,62,58,96,60,81,81,57,52,93,92,75,100,72,69,99,75,66,68,85,96,91,68,55,98,64,70,93,61,94,62,Data Scientist
78,50,91,79,62,50,99,50,88,53,71,79,95,99,91,86,84,89,91,62,64,89,55,55,82,100,61,81,59,63,74,70,62,91,60,90,61,66,95,90,65,57,99,Cybersecurity Analyst
65,77,99,50,80,61,93,75,61,61,100,62,68,89,95,99,81,94,87,85,98,77,63,70,67,77,50,77,73,74,72,81,89,73,55,64,88,88,82,100,61,78,85,Data Scientist
93,95,53,93,91,64,51,70,85,84,51,92,78,59,73,78,89,61,95,90,59,86,65,50,83,95,87,98,59,59,98,69,89,82,67,52,63,98,64,75,75,74,86,Software Developer
97,67,68,54,66,50,50,73,72,57,59,52,66,78,88,87,55,77,70,69,100,52,82,94,68,60,73,75,90,97,83,70,73,90,57,79,91,93,61,57,74,63,72,Data Scientist
90,84,71,79,86,79,61,62,73,93,58,63,65,89,65,66,62,97,69,93,53,58,75,87,72,89,59,98,78,97,67,79,62,73,52,90,54,70,93,67,95,68,64,Full Stack Developer
50,69,66,68,58,51,66,77,77,95,95,90,86,57,51,66,78,58,90,68,99,67,77,88,96,69,53,72,96,64,86,59,98,90,69,88,83,82,76,97,81,50,71,Patent Lawyer
55,70,54,61,63,77,75,58,75,71,57,54,89,51,59,94,59,75,85,96,56,89,55,52,93,97,77,84,58,87,53,99,58,65,57,75,99,94,70,83,92,51,91,Data Scientist
99,92,93,82,67,86,66,56,71,60,64,97,62,100,58,87,98,78,57,95,69,79,67,62,59,100,94,98,53,84,50,92,53,61,95,77,68,64,61,55,55,88,50,Software Developer
74,68,85,66,93,89,64,88,70,81,72,78,51,82,76,74,81,61,94,53,86,96,88,84,70,63,65,91,91,72,69,57,71,60,98,79,60,87,85,71,88,89,74,AI Researcher
57,68,65,70,55,92,53,96,78,98,52,58,55,75,60,51,75,56,58,85,83,77,74,60,81,68,67,66,99,62,100,91,92,86,51,99,97,92,89,69,78,56,78,Data Scientist
100,85,94,57,85,69,70,80,59,88,95,75,82,81,88,58,65,69,57,76,75,84,69,90,89,99,81,52,57,54,80,99,92,77,85,50,53,77,99,57,66,86,68,Systems Architect
57,74,99,51,59,88,87,56,64,67,83,62,67,98,55,76,90,78,73,89,55,96,54,77,89,72,88,99,59,74,66,83,98,90,92,51,77,61,64,88,53,75,87,AI Researcher
81,58,57,98,92,52,70,68,63,91,62,94,67,89,51,53,69,83,93,57,79,70,80,76,74,56,79,86,52,77,67,65,54,81,83,52,52,52,80,97,84,84,67,Full Stack Developer
88,77,82,51,92,83,79,66,56,79,53,56,78,67,75,83,85,90,66,79,87,55,63,82,50,54,58,89,51,78,66,77,85,83,63,83,78,58,67,80,76,86,72,Engineer
64,65,85,92,82,88,83,98,87,69,74,68,76,100,80,88,89,87,84,77,99,89,60,76,85,51,56,53,68,77,70,62,84,86,68,57,52,50,76,76,73,69,92,Doctor
97,74,63,79,74,94,79,98,78,86,70,62,82,80,91,97,59,58,56,50,86,62,59,99,72,51,94,89,96,91,71,99,100,96,78,95,92,94,94,84,88,92,88,Data Scientist
79,67,61,75,76,83,82,67,62,67,86,54,59,89,98,63,83,53,90,86,97,72,96,92,81,87,54,57,81,90,95,68,75,68,65,58,89,54,56,67,97,52,63,Data Scientist
97,87,73,79,71,67,83,88,82,62,55,98,75,100,100,86,92,58,62,97,66,70,97,64,59,67,82,80,61,84,88,87,57,69,51,87,63,82,54,54,57,84,69,Software Developer
64,100,67,67,71,66,73,98,65,85,53,65,80,86,85,56,56,70,97,92,71,72,63,80,91,73,79,96,83,57,88,89,75,68,68,68,83,53,96,99,72,56,72,Project Manager
76,71,76,99,75,54,90,99,80,90,98,100,76,64,79,71,78,65,96,84,77,64,75,62,58,86,79,100,75,91,82,56,60,59,66,59,63,94,91,73,79,92,77,Doctor
59,54,96,85,92,70,82,53,70,100,51,51,91,52,75,65,69,52,89,81,93,53,89,74,62,99,93,86,92,99,91,81,80,60,79,63,86,87,88,91,94,78,87,Data Scientist
78,67,69,75,78,92,81,74,88,67,72,99,72,72,91,100,100,65,66,67,76,61,99,95,53,57,50,76,95,72,90,75,58,95,94,90,52,71,61,64,64,66,69,Project Manager
75,80,92,81,52,92,66,83,67,67,51,100,75,78,70,84,84,90,76,77,73,77,62,98,99,71,54,61,62,81,89,89,57,81,85,72,58,59,100,73,85,95,82,Data Analyst
86,100,67,91,87,51,51,77,57,84,85,55,83,83,99,69,94,52,96,75,68,62,83,77,70,60,63,74,81,75,78,61,59,95,84,100,63,87,94,84,94,80,79,Software Developer
82,83,63,72,50,66,70,69,76,76,78,51,53,54,86,73,78,91,63,59,51,76,52,78,64,67,97,62,88,56,88,71,92,57,97,97,80,58,72,92,89,97,99,Full Stack Developer
79,85,87,55,66,77,66,56,55,66,66,76,73,88,74,70,91,90,61,74,86,88,94,57,87,56,52,53,72,80,86,60,92,93,87,95,84,83,66,58,82,95,97,Patent Lawyer
53,61,67,63,54,54,76,51,52,95,63,88,68,56,82,63,63,67,72,63,77,85,84,90,63,72,77,94,98,93,83,79,54,84,76,95,66,99,80,74,65,77,92,Database Administrator
79,74,58,98,77,64,90,72,82,97,98,57,65,70,73,52,68,73,81,57,100,85,85,68,75,98,87,88,54,85,82,78,70,56,76,86,84,76,75,82,86,96,70,Web Developer
61,83,84,67,56,75,64,95,79,53,57,93,85,67,53,55,84,61,77,81,70,88,58,59,80,86,53,95,54,63,81,50,89,77,72,84,65,65,78,87,54,75,73,Economist
73,95,59,71,91,70,66,54,50,50,57,55,79,86,56,68,74,53,78,94,55,93,100,82,91,90,85,84,64,72,74,53,100,94,63,94,96,100,53,74,96,60,97,Data Scientist
94,91,72,78,90,58,69,68,51,78,88,52,86,83,76,50,54,78,65,58,99,97,94,52,88,89,66,56,60,99,83,88,93,63,53,65,78,93,100,99,72,93,95,DevOps Engineer
50,100,79,98,63,76,96,58,62,76,87,57,63,58,89,86,67,98,89,94,57,67,96,58,64,70,63,51,50,74,50,84,51,51,69,60,66,96,71,78,56,51,88,Mechanical Engineer
98,52,81,63,69,93,99,65,66,64,93,75,96,71,82,74,76,99,76,80,70,52,54,58,79,50,77,67,69,77,81,79,70,82,88,77,80,93,83,73,63,69,54,Engineer
88,75,72,98,91,76,87,63,63,75,80,82,77,83,66,80,94,96,98,78,77,82,70,56,57,85,96,88,60,68,84,98,77,58,89,82,96,97,100,52,68,99,80,Software Developer
56,52,99,80,74,64,68,56,62,66,56,79,62,65,93,73,74,88,90,78,55,96,83,98,62,68,80,65,96,78,76,66,91,77,100,51,87,89,82,96,61,86,96,Data Scientist
59,52,57,93,84,58,72,62,58,55,94,88,75,90,64,96,69,58,70,62,63,67,94,95,88,81,66,51,91,89,96,59,87,81,61,64,77,51,80,85,89,75,88,Cybersecurity Analyst
90,87,52,74,50,60,70,70,57,93,64,89,53,66,62,71,59,76,87,95,75,51,71,90,72,84,99,87,68,61,80,64,98,86,73,89,70,54,56,79,91,51,80,Cybersecurity Analyst
62,89,84,62,75,77,51,64,72,84,95,85,90,91,73,97,70,56,84,65,90,67,55,72,53,87,89,74,66,97,64,64,87,80,92,90,61,95,94,52,59,96,74,Patent Lawyer
75,61,97,83,65,90,63,66,81,100,74,74,99,85,92,60,81,73,87,83,74,77,59,69,50,66,89,85,84,90,54,86,73,51,96,74,81,77,86,68,81,75,50,Project Manager
85,63,93,62,74,54,75,63,83,84,83,100,67,52,96,98,93,83,78,86,84,64,79,96,67,81,93,55,69,57,82,97,99,51,62,99,82,75,78,72,69,53,58,Full Stack Developer
68,65,92,60,56,73,75,54,66,99,98,81,67,79,88,61,51,94,64,67,69,52,94,72,70,77,90,96,99,59,64,53,72,51,66,90,86,98,62,54,63,100,66,Data Scientist
99,94,73,50,93,71,62,70,64,77,63,77,95,76,94,81,63,99,80,52,70,58,83,66,55,88,52,91,62,54,72,84,88,94,75,72,91,58,84,83,95,55,64,Data Scientist
57,100,80,50,61,94,64,52,78,69,95,74,89,99,60,86,88,61,58,87,73,79,64,54,64,57,57,71,55,96,85,54,50,100,84,94,84,66,54,79,65,65,54,Patent Lawyer
76,62,81,54,78,54,88,79,76,75,67,92,58,51,51,57,91,93,72,62,91,97,81,56,59,78,58,96,67,74,74,62,69,99,69,78,80,91,78,81,69,64,85,Web Developer
62,87,50,92,83,85,100,65,50,50,60,79,73,83,88,65,81,99,89,61,65,52,83,76,61,60,66,61,62,53,56,56,87,98,55,57,94,67,89,50,56,68,74,Data Scientist
87,71,88,94,64,98,78,91,85,98,93,54,72,68,83,90,81,75,64,68,75,79,53,91,50,87,69,50,82,88,77,72,60,75,71,87,81,60,52,65,52,84,64,Engineer
60,97,58,95,54,55,96,94,66,91,80,65,51,74,57,57,64,81,71,93,75,89,92,73,87,53,57,60,50,83,100,70,72,68,96,91,58,69,94,78,62,69,87,Doctor
54,85,79,86,79,96,95,81,72,98,73,82,75,73,65,72,57,86,70,50,74,97,80,89,73,50,83,92,58,53,84,80,79,52,74,51,57,62,81,78,74,59,78,AI Researcher
63,86,89,82,53,94,73,57,80,54,99,69,81,73,83,80,80,83,92,69,66,80,83,72,88,54,61,91,89,74,87,92,95,95,95,94,81,71,83,63,94,77,94,Project Manager
97,54,63,79,75,91,66,74,67,53,85,58,89,81,98,80,73,99,53,71,51,52,68,91,99,99,80,63,89,51,95,90,84,96,60,90,55,92,95,77,70,74,87,Engineer
84,68,78,72,97,100,50,89,63,62,77,65,73,81,57,94,97,80,75,96,79,80,59,81,100,82,100,54,80,73,61,91,100,61,83,61,60,100,71,80,52,89,62,Civil Services
58,55,84,60,53,89,97,72,56,81,98,69,88,97,74,81,81,78,94,54,82,76,56,86,52,95,83,88,87,74,85,50,100,67,62,88,54,99,77,61,95,96,80,Web Developer
53,55,77,55,52,82,69,59,52,99,97,88,89,84,98,53,87,50,91,81,95,78,59,84,69,98,51,94,88,84,53,98,94,64,86,89,98,96,59,95,58,60,93,Data Scientist
56,89,65,92,90,86,54,87,87,56,57,57,100,61,89,54,78,53,63,91,87,77,91,73,98,76,99,88,72,51,81,61,91,66,54,61,92,77,69,64,94,76,80,Data Scientist
79,70,96,82,68,57,65,54,63,96,81,74,100,74,99,58,91,63,59,52,85,81,61,68,95,76,70,86,72,57,90,83,87,95,55,71,94,96,75,76,54,97,97,Data Scientist
75,62,57,59,80,54,57,78,85,65,61,52,96,68,98,76,81,100,51,84,82,51,72,58,87,68,53,81,53,80,88,64,71,99,84,74,65,99,75,71,77,50,87,Data Analyst
53,77,67,57,88,81,92,70,61,75,66,83,72,98,74,81,66,72,63,99,81,62,94,62,91,60,76,82,54,90,70,88,76,90,82,56,79,66,72,75,77,50,67,Software Engineer
76,92,63,80,95,83,82,88,63,71,65,53,100,90,94,88,60,99,69,80,81,96,96,96,98,64,91,56,57,78,76,65,79,93,81,86,68,56,76,51,86,98,97,Doctor
77,76,58,95,70,96,77,100,88,56,71,54,97,56,90,70,66,64,57,61,78,77,70,56,83,90,67,92,75,94,71,76,87,89,71,55,82,78,61,72,85,83,79,Cybersecurity Analyst
72,89,99,72,84,73,60,99,59,87,85,95,51,65,67,52,53,51,51,65,68,72,57,81,88,70,94,61,94,89,85,97,70,76,100,56,78,92,70,97,87,70,55,Software Engineer
73,70,50,75,62,63,83,73,75,72,76,90,83,84,55,70,62,69,64,64,62,50,82,52,94,92,67,79,93,97,88,100,55,97,94,91,61,80,55,59,93,68,59,Cybersecurity Analyst
57,68,52,91,78,61,80,88,74,53,84,88,88,87,78,78,78,95,93,60,82,56,80,88,68,54,79,51,69,57,81,85,64,96,50,96,58,62,79,80,79,97,51,Patent Lawyer
91,64,59,53,98,67,54,77,86,57,94,89,67,96,80,90,95,93,84,84,60,65,69,60,81,71,91,96,92,99,74,76,62,84,53,93,54,53,71,83,84,93,51,Software Developer
73,87,63,92,65,50,53,53,91,93,57,59,72,84,91,59,68,68,78,52,86,96,72,83,93,54,92,100,70,84,81,62,53,58,97,78,69,84,61,74,67,57,73,Web Developer
68,84,83,96,91,90,62,71,57,93,53,57,57,88,76,71,85,91,50,81,80,73,95,91,73,60,53,73,55,86,55,72,74,52,92,58,80,93,76,83,68,98,82,Database Administrator
100,64,53,53,81,98,64,69,84,98,55,95,61,81,82,67,90,74,88,79,60,53,65,54,97,75,60,59,98,51,83,58,81,84,88,84,73,77,77,73,60,54,58,Software Developer
67,54,88,63,93,61,76,96,68,58,91,54,94,91,59,59,57,75,52,61,67,99,60,51,59,80,79,77,85,74,100,97,73,81,75,69,87,94,78,68,54,73,93,Data Scientist
96,97,53,50,63,88,63,96,80,65,99,95,51,88,64,58,76,77,53,69,74,76,89,76,56,94,61,63,65,63,71,69,57,73,55,57,57,65,97,75,69,51,53,Engineer
84,71,90,67,59,58,72,74,62,84,96,72,66,65,91,85,55,72,76,57,55,82,78,88,95,71,53,85,62,55,65,82,64,66,84,79,73,100,86,76,60,55,89,Embedded Systems Engineer
54,67,97,53,86,100,99,92,54,72,91,61,81,57,94,98,96,59,97,59,67,60,82,99,50,59,86,76,85,81,98,52,50,88,57,95,85,68,62,55,75,90,68,Doctor
50,68,95,59,53,88,66,98,76,90,95,70,53,91,96,95,58,50,92,95,59,76,69,66,73,55,85,94,69,72,50,83,83,67,74,80,91,66,64,56,84,80,55,Data Scientist
99,86,92,91,95,92,53,70,55,77,92,89,54,86,87,57,72,82,77,96,61,85,60,78,90,74,69,77,93,75,75,62,83,53,77,72,66,89,94,60,66,98,68,Civil Services
53,60,64,85,76,91,88,68,63,73,58,59,92,93,68,84,73,70,90,72,60,65,60,67,98,97,63,63,62,84,50,99,91,80,68,93,92,74,57,70,81,65,84,Data Scientist
72,78,57,72,100,55,89,52,98,72,58,86,70,69,74,65,69,67,81,57,57,73,100,71,94,94,61,67,78,52,70,76,59,70,71,51,66,70,90,98,89,50,75,Cloud Architect
81,57,50,96,91,81,67,50,90,54,95,99,93,65,60,51,97,66,99,91,52,54,51,76,58,51,63,100,88,54,100,61,61,81,55,59,74,76,76,94,93,77,98,Civil Services
95,50,99,86,87,68,53,68,55,90,80,62,54,53,98,92,69,73,76,84,72,57,54,61,85,53,100,70,86,85,69,80,99,74,73,86,94,69,78,60,89,96,60,Data Scientist
90,67,77,76,64,68,78,77,54,84,75,59,70,99,71,82,56,75,76,98,92,92,89,90,88,96,93,55,60,78,92,92,89,64,93,95,100,72,80,100,78,97,57,Data Scientist
97,77,76,69,81,64,90,78,79,80,85,54,61,66,69,75,59,73,94,98,89,91,70,51,92,52,52,92,79,53,75,93,63,92,80,85,92,58,95,76,92,93,72,Data Scientist
80,85,53,89,73,98,98,81,83,81,56,60,69,66,78,76,82,92,69,55,63,79,55,55,61,68,74,77,82,97,89,62,68,83,82,99,69,63,51,57,66,81,75,Patent Lawyer
88,77,61,96,82,66,56,69,53,92,93,99,68,64,97,88,71,91,60,92,66,68,62,70,52,63,96,71,61,94,81,62,56,67,96,66,63,95,75,81,60,67,80,Full Stack Developer
60,71,97,76,99,79,92,82,75,93,74,65,75,91,87,54,50,97,84,100,59,51,84,88,73,62,83,79,63,63,78,56,86,92,72,88,76,75,61,66,79,74,82,Civil Services
92,89,61,56,93,98,51,75,69,94,98,69,57,75,63,68,65,67,85,91,63,67,98,65,90,92,87,78,68,55,77,56,62,59,80,68,86,51,56,67,79,87,53,Data Scientist
67,95,98,84,51,68,93,53,96,98,91,77,60,73,86,55,77,89,50,93,59,81,76,89,78,85,93,76,73,100,72,57,78,65,68,60,77,94,63,52,72,88,94,Database Administrator
72,87,56,74,56,58,81,69,83,99,89,73,50,58,99,64,92,76,100,74,54,81,82,66,54,67,94,84,81,98,75,88,99,52,55,88,64,95,75,87,62,72,59,Project Manager
